Load distribution (Распределение нагрузки) 
Этот раздел отчёта pgpro_pwr основан на представлении pgpro_stats_totals расширения pgpro_stats, если оно было доступно в течение отчётного интервала. 
Каждая таблица в данном разделе предоставляет данные за отчётный интервал о распределении нагрузки для определённого типа объектов, для которых собирается агрегированная статистика, например, баз данных, приложений, узлов или пользователей. 
Каждая таблица содержит по одной строке для каждого из ресурсов (таких, как общее время или общее число записанных разделяемых блоков), где распределение нагрузки показано на графике в виде линейчатой диаграммы с накоплением для объектов с наибольшей нагрузкой по этому ресурсу. Значения времени в этих таблицах выражаются в секундах.

Таблица G.25. Load distribution (Распределение нагрузки)

Строка	Описание	Вычисление
Total time	Общее время, затраченное на планирование и выполнение операторов	total_plan_time + total_exec_time
Executed count	Число выполненных запросов	queries_executed
I/O time	Общее время, затраченное операторами на чтение или запись блоков (если включён track_io_timing, или ноль в противном случае)	blk_read_time + blk_write_time
Blocks fetched	Общее число разделяемых блоков, прочитанных с диска и из кеша, для данного оператора	shared_blks_hit + shared_blks_read
Shared blocks read	Общее количество разделяемых блоков, прочитанных операторами	shared_blks_read
Shared blocks dirtied	Общее число разделяемых блоков, «загрязнённых» операторами	shared_blks_dirtied
Shared blocks written	Общее число разделяемых блоков, записанных операторами	shared_blks_written
WAL generated	Общий объём WAL, сгенерированный при выполнении операторов	wal_bytes
Temp and Local blocks written	Общее число временных и локальных блоков, записанных операторами	temp_blks_written + local_blks_written
Temp and Local blocks read	Общее количество временных и локальных блоков, прочитанных операторами	temp_blks_read + local_blks_read
Invalidation messages sent	Общее число событий аннулирования, отправленных обслуживающими процессами в этой базе данных	(pgpro_stats_totals.inval_msgs).all
Cache resets	Общее число сбросов разделяемого кеша	pgpro_stats_totals.cache_resets
