Таблица G.25. Load distribution (Распределение нагрузки)

Строка	Описание	Вычисление
Total time	Общее время, затраченное на планирование и выполнение операторов	total_plan_time + total_exec_time
Executed count	Число выполненных запросов	queries_executed
I/O time	Общее время, затраченное операторами на чтение или запись блоков (если включён track_io_timing, или ноль в противном случае)	blk_read_time + blk_write_time
Blocks fetched	Общее число разделяемых блоков, прочитанных с диска и из кеша, для данного оператора	shared_blks_hit + shared_blks_read
Shared blocks read	Общее количество разделяемых блоков, прочитанных операторами	shared_blks_read
Shared blocks dirtied	Общее число разделяемых блоков, «загрязнённых» операторами	shared_blks_dirtied
Shared blocks written	Общее число разделяемых блоков, записанных операторами	shared_blks_written
WAL generated	Общий объём WAL, сгенерированный при выполнении операторов	wal_bytes
Temp and Local blocks written	Общее число временных и локальных блоков, записанных операторами	temp_blks_written + local_blks_written
Temp and Local blocks read	Общее количество временных и локальных блоков, прочитанных операторами	temp_blks_read + local_blks_read
Invalidation messages sent	Общее число событий аннулирования, отправленных обслуживающими процессами в этой базе данных	(pgpro_stats_totals.inval_msgs).all
Cache resets	Общее число сбросов разделяемого кеша	pgpro_stats_totals.cache_resets
