Таблица G.36. Top SQL by I/O wait time (SQL-запросы с наибольшим временем I/O)

Столбец	Описание	Поле/вычисление
Query ID	Шестнадцатеричное представление queryid. Хеш от идентификатора запроса, идентификатора базы данных и идентификатора пользователя приводится в квадратных скобках. Для вложенных операторов (таких как операторы, вызываемые внутри операторов верхнего уровня) здесь будет отображаться метка (N).	 
Plan ID	Хеш-код для идентификации нормализованного плана оператора	planid
Database	Имя базы данных, в которой выполнялся запрос	Выводится из dbid
User	Имя пользователя, выполняющего запрос	Выводится из userid
IO(s)	Общее время, затраченное на чтение/запись при выполнении плана, то есть время ввода-вывода	blk_read_time + blk_write_time
R(s)	Общее время, затраченное на чтение при выполнении плана	blk_read_time
W(s)	Общее время, затраченное на запись при выполнении плана	blk_write_time
%Total	Отношение времени ввода-вывода при выполнении этого плана к общему времени ввода-вывода для всех запросов в кластере	 
Shr Reads	Общее число разделяемых блоков, прочитанных при выполнении плана	shared_blks_read
Loc Reads	Общее число локальных блоков, прочитанных при выполнении плана	local_blks_read
Tmp Reads	Общее число временных блоков, прочитанных при выполнении плана	temp_blks_read
Shr Writes	Общее число разделяемых блоков, записанных при выполнении плана	shared_blks_written
Loc Writes	Общее число локальных блоков, записанных при выполнении плана	local_blks_written
Tmp Writes	Общее число временных блоков, записанных при выполнении плана	temp_blks_written
Elapsed(s)	Общее время, затраченное на выполнение плана запроса	total_plan_time + total_exec_time
Executions	Сколько раз выполнялся план запроса	calls
%Cvr	Охват: продолжительность сбора статистики по операторам в процентах от продолжительности отчётного интервала	
